dataset_type,instance,nodes,edges,n,p,repeat,algorithm,colors,time_seconds,conflicts,valid
random_er,ER_n50_p0.1_r0,50,126,50,0.1,0,greedy_welsh_powell,4,8.168199565261602e-05,0,True
random_er,ER_n50_p0.1_r0,50,126,50,0.1,0,dsatur,4,0.0011659749870887026,0,True
random_er,ER_n50_p0.1_r0,50,126,50,0.1,0,tabu_search,4,0.008659374987473711,0,True
random_er,ER_n50_p0.1_r1,50,131,50,0.1,1,greedy_welsh_powell,5,6.379900150932372e-05,0,True
random_er,ER_n50_p0.1_r1,50,131,50,0.1,1,dsatur,4,0.0010652860073605552,0,True
random_er,ER_n50_p0.1_r1,50,131,50,0.1,1,tabu_search,4,0.009903361002216116,0,True
random_er,ER_n50_p0.1_r2,50,107,50,0.1,2,greedy_welsh_powell,4,5.8828009059652686e-05,0,True
random_er,ER_n50_p0.1_r2,50,107,50,0.1,2,dsatur,4,0.0009608230029698461,0,True
random_er,ER_n50_p0.1_r2,50,107,50,0.1,2,tabu_search,4,0.007758107007248327,0,True
random_er,ER_n50_p0.1_r3,50,154,50,0.1,3,greedy_welsh_powell,5,7.438998727593571e-05,0,True
random_er,ER_n50_p0.1_r3,50,154,50,0.1,3,dsatur,4,0.00141572899883613,0,True
random_er,ER_n50_p0.1_r3,50,154,50,0.1,3,tabu_search,4,0.013665354999830015,0,True
random_er,ER_n50_p0.1_r4,50,102,50,0.1,4,greedy_welsh_powell,4,5.647199577651918e-05,0,True
random_er,ER_n50_p0.1_r4,50,102,50,0.1,4,dsatur,3,0.000930750000406988,0,True
random_er,ER_n50_p0.1_r4,50,102,50,0.1,4,tabu_search,3,0.009660203009843826,0,True
random_er,ER_n50_p0.3_r0,50,356,50,0.3,0,greedy_welsh_powell,8,0.0001373429986415431,0,True
random_er,ER_n50_p0.3_r0,50,356,50,0.3,0,dsatur,7,0.0018389350007055327,0,True
random_er,ER_n50_p0.3_r0,50,356,50,0.3,0,tabu_search,7,0.027116063007269986,0,True
random_er,ER_n50_p0.3_r1,50,369,50,0.3,1,greedy_welsh_powell,8,9.778200183063745e-05,0,True
random_er,ER_n50_p0.3_r1,50,369,50,0.3,1,dsatur,7,0.002105601000948809,0,True
random_er,ER_n50_p0.3_r1,50,369,50,0.3,1,tabu_search,7,0.028087085011065938,0,True
random_er,ER_n50_p0.3_r2,50,342,50,0.3,2,greedy_welsh_powell,7,0.00011550099588930607,0,True
random_er,ER_n50_p0.3_r2,50,342,50,0.3,2,dsatur,7,0.0019270769989816472,0,True
random_er,ER_n50_p0.3_r2,50,342,50,0.3,2,tabu_search,6,0.03914654099207837,0,True
random_er,ER_n50_p0.3_r3,50,372,50,0.3,3,greedy_welsh_powell,8,9.870500070974231e-05,0,True
random_er,ER_n50_p0.3_r3,50,372,50,0.3,3,dsatur,7,0.001763994005159475,0,True
random_er,ER_n50_p0.3_r3,50,372,50,0.3,3,tabu_search,7,0.030575021999538876,0,True
random_er,ER_n50_p0.3_r4,50,360,50,0.3,4,greedy_welsh_powell,9,0.00010043899237643927,0,True
random_er,ER_n50_p0.3_r4,50,360,50,0.3,4,dsatur,7,0.0018592189881019294,0,True
random_er,ER_n50_p0.3_r4,50,360,50,0.3,4,tabu_search,7,0.02385260800656397,0,True
random_er,ER_n50_p0.5_r0,50,601,50,0.5,0,greedy_welsh_powell,12,0.0001274800015380606,0,True
random_er,ER_n50_p0.5_r0,50,601,50,0.5,0,dsatur,12,0.0024593299895059317,0,True
random_er,ER_n50_p0.5_r0,50,601,50,0.5,0,tabu_search,10,0.11460676300339401,0,True
random_er,ER_n50_p0.5_r1,50,588,50,0.5,1,greedy_welsh_powell,12,0.00013394000416155905,0,True
random_er,ER_n50_p0.5_r1,50,588,50,0.5,1,dsatur,10,0.0021147299994481727,0,True
random_er,ER_n50_p0.5_r1,50,588,50,0.5,1,tabu_search,10,0.047101700998609886,0,True
random_er,ER_n50_p0.5_r2,50,593,50,0.5,2,greedy_welsh_powell,12,0.00010006700176745653,0,True
random_er,ER_n50_p0.5_r2,50,593,50,0.5,2,dsatur,10,0.0027237140020588413,0,True
random_er,ER_n50_p0.5_r2,50,593,50,0.5,2,tabu_search,10,0.04446814599214122,0,True
random_er,ER_n50_p0.5_r3,50,620,50,0.5,3,greedy_welsh_powell,12,0.0001559509983053431,0,True
random_er,ER_n50_p0.5_r3,50,620,50,0.5,3,dsatur,11,0.0033072999940486625,0,True
random_er,ER_n50_p0.5_r3,50,620,50,0.5,3,tabu_search,10,0.0721329100051662,0,True
random_er,ER_n50_p0.5_r4,50,598,50,0.5,4,greedy_welsh_powell,12,0.00013572299212682992,0,True
random_er,ER_n50_p0.5_r4,50,598,50,0.5,4,dsatur,10,0.0041033699963008985,0,True
random_er,ER_n50_p0.5_r4,50,598,50,0.5,4,tabu_search,10,0.05306609999388456,0,True
random_er,ER_n50_p0.7_r0,50,837,50,0.7,0,greedy_welsh_powell,18,0.00018296200141776353,0,True
random_er,ER_n50_p0.7_r0,50,837,50,0.7,0,dsatur,15,0.0023140659905038774,0,True
random_er,ER_n50_p0.7_r0,50,837,50,0.7,0,tabu_search,14,0.10974934500700328,0,True
random_er,ER_n50_p0.7_r1,50,871,50,0.7,1,greedy_welsh_powell,18,0.00012178199540358037,0,True
random_er,ER_n50_p0.7_r1,50,871,50,0.7,1,dsatur,17,0.002414140006294474,0,True
random_er,ER_n50_p0.7_r1,50,871,50,0.7,1,tabu_search,16,0.11457615799736232,0,True
random_er,ER_n50_p0.7_r2,50,837,50,0.7,2,greedy_welsh_powell,18,0.00012340600369498134,0,True
random_er,ER_n50_p0.7_r2,50,837,50,0.7,2,dsatur,15,0.0026385649980511516,0,True
random_er,ER_n50_p0.7_r2,50,837,50,0.7,2,tabu_search,15,0.08386631199391559,0,True
random_er,ER_n50_p0.7_r3,50,826,50,0.7,3,greedy_welsh_powell,16,0.00031643500551581383,0,True
random_er,ER_n50_p0.7_r3,50,826,50,0.7,3,dsatur,14,0.005361742005334236,0,True
random_er,ER_n50_p0.7_r3,50,826,50,0.7,3,tabu_search,14,0.08783416500955354,0,True
random_er,ER_n50_p0.7_r4,50,868,50,0.7,4,greedy_welsh_powell,17,0.0001742690074024722,0,True
random_er,ER_n50_p0.7_r4,50,868,50,0.7,4,dsatur,16,0.003342280993820168,0,True
random_er,ER_n50_p0.7_r4,50,868,50,0.7,4,tabu_search,15,0.11807684300583787,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,greedy_welsh_powell,6,0.0002457310038153082,0,True
random_er,ER_n100_p0.1_r0,100,533,100,0.1,0,dsatur,6,0.007727318006800488,0,True
