dataset_type,instance,nodes,edges,n,p,repeat,algorithm,colors,time_seconds,conflicts,valid
random_er,ER_n50_p0.1_r0,50,126,50,0.1,0,greedy_welsh_powell,4,6.933799886610359e-05,0,True
random_er,ER_n50_p0.1_r0,50,126,50,0.1,0,dsatur,4,0.0009521669999230653,0,True
random_er,ER_n50_p0.1_r0,50,126,50,0.1,0,tabu_search,4,0.008043313006055541,0,True
random_er,ER_n50_p0.1_r1,50,131,50,0.1,1,greedy_welsh_powell,5,5.940100527368486e-05,0,True
random_er,ER_n50_p0.1_r1,50,131,50,0.1,1,dsatur,4,0.000992543005850166,0,True
random_er,ER_n50_p0.1_r1,50,131,50,0.1,1,tabu_search,4,0.008787004990153946,0,True
random_er,ER_n50_p0.1_r2,50,107,50,0.1,2,greedy_welsh_powell,4,4.9295995268039405e-05,0,True
random_er,ER_n50_p0.1_r2,50,107,50,0.1,2,dsatur,4,0.0007681979914195836,0,True
random_er,ER_n50_p0.1_r2,50,107,50,0.1,2,tabu_search,4,0.00603725400287658,0,True
random_er,ER_n50_p0.1_r3,50,154,50,0.1,3,greedy_welsh_powell,5,5.500399856828153e-05,0,True
random_er,ER_n50_p0.1_r3,50,154,50,0.1,3,dsatur,4,0.0008637029968667775,0,True
random_er,ER_n50_p0.1_r3,50,154,50,0.1,3,tabu_search,4,0.011634269991191104,0,True
random_er,ER_n50_p0.1_r4,50,102,50,0.1,4,greedy_welsh_powell,4,9.468800271861255e-05,0,True
random_er,ER_n50_p0.1_r4,50,102,50,0.1,4,dsatur,3,0.0013911669957451522,0,True
random_er,ER_n50_p0.1_r4,50,102,50,0.1,4,tabu_search,3,0.010758347998489626,0,True
random_er,ER_n50_p0.3_r0,50,356,50,0.3,0,greedy_welsh_powell,8,7.145199924707413e-05,0,True
random_er,ER_n50_p0.3_r0,50,356,50,0.3,0,dsatur,7,0.001234105002367869,0,True
random_er,ER_n50_p0.3_r0,50,356,50,0.3,0,tabu_search,7,0.029176885000197217,0,True
random_er,ER_n50_p0.3_r1,50,369,50,0.3,1,greedy_welsh_powell,8,0.00010568200377747416,0,True
random_er,ER_n50_p0.3_r1,50,369,50,0.3,1,dsatur,7,0.0020047530124429613,0,True
random_er,ER_n50_p0.3_r1,50,369,50,0.3,1,tabu_search,7,0.022636352994595654,0,True
random_er,ER_n50_p0.3_r2,50,342,50,0.3,2,greedy_welsh_powell,7,9.537600271869451e-05,0,True
random_er,ER_n50_p0.3_r2,50,342,50,0.3,2,dsatur,7,0.002025932990363799,0,True
random_er,ER_n50_p0.3_r2,50,342,50,0.3,2,tabu_search,6,0.04608474799897522,0,True
random_er,ER_n50_p0.3_r3,50,372,50,0.3,3,greedy_welsh_powell,8,8.831400191411376e-05,0,True
random_er,ER_n50_p0.3_r3,50,372,50,0.3,3,dsatur,7,0.0018178979953518137,0,True
random_er,ER_n50_p0.3_r3,50,372,50,0.3,3,tabu_search,7,0.02534536000166554,0,True
random_er,ER_n50_p0.3_r4,50,360,50,0.3,4,greedy_welsh_powell,9,8.187800995074213e-05,0,True
random_er,ER_n50_p0.3_r4,50,360,50,0.3,4,dsatur,7,0.0013475369923980907,0,True
random_er,ER_n50_p0.3_r4,50,360,50,0.3,4,tabu_search,7,0.0191604110004846,0,True
random_er,ER_n50_p0.5_r0,50,601,50,0.5,0,greedy_welsh_powell,12,0.00010898399341385812,0,True
random_er,ER_n50_p0.5_r0,50,601,50,0.5,0,dsatur,12,0.0020631450024666265,0,True
random_er,ER_n50_p0.5_r0,50,601,50,0.5,0,tabu_search,10,0.09781170100905001,0,True
random_er,ER_n50_p0.5_r1,50,588,50,0.5,1,greedy_welsh_powell,12,9.904400212690234e-05,0,True
random_er,ER_n50_p0.5_r1,50,588,50,0.5,1,dsatur,10,0.0017285750072915107,0,True
random_er,ER_n50_p0.5_r1,50,588,50,0.5,1,tabu_search,10,0.03708257000835147,0,True
random_er,ER_n50_p0.5_r2,50,593,50,0.5,2,greedy_welsh_powell,12,9.850600326899439e-05,0,True
random_er,ER_n50_p0.5_r2,50,593,50,0.5,2,dsatur,10,0.0017562459979671985,0,True
random_er,ER_n50_p0.5_r2,50,593,50,0.5,2,tabu_search,10,0.03453860500303563,0,True
random_er,ER_n50_p0.5_r3,50,620,50,0.5,3,greedy_welsh_powell,12,0.0003684109979076311,0,True
random_er,ER_n50_p0.5_r3,50,620,50,0.5,3,dsatur,11,0.0034610339935170487,0,True
random_er,ER_n50_p0.5_r3,50,620,50,0.5,3,tabu_search,10,0.0827660610084422,0,True
random_er,ER_n50_p0.5_r4,50,598,50,0.5,4,greedy_welsh_powell,12,0.00020878200302831829,0,True
random_er,ER_n50_p0.5_r4,50,598,50,0.5,4,dsatur,10,0.0018240549979964271,0,True
random_er,ER_n50_p0.5_r4,50,598,50,0.5,4,tabu_search,10,0.03904193401103839,0,True
random_er,ER_n50_p0.7_r0,50,837,50,0.7,0,greedy_welsh_powell,18,0.0001240459969267249,0,True
