dataset_type,instance,nodes,edges,n,p,repeat,algorithm,colors,time_seconds,conflicts,valid
random_er,ER_n50_p0.1_r0,50,126,50,0.1,0,greedy_welsh_powell,4,6.930400559213012e-05,0,True
random_er,ER_n50_p0.1_r0,50,126,50,0.1,0,dsatur,4,0.0009534709970466793,0,True
random_er,ER_n50_p0.1_r0,50,126,50,0.1,0,tabu_search,4,0.008330726996064186,0,True
random_er,ER_n50_p0.1_r1,50,131,50,0.1,1,greedy_welsh_powell,5,6.142699567135423e-05,0,True
random_er,ER_n50_p0.1_r1,50,131,50,0.1,1,dsatur,4,0.0009877889970084652,0,True
random_er,ER_n50_p0.1_r1,50,131,50,0.1,1,tabu_search,4,0.009840782004175708,0,True
random_er,ER_n50_p0.1_r2,50,107,50,0.1,2,greedy_welsh_powell,4,6.10410061199218e-05,0,True
random_er,ER_n50_p0.1_r2,50,107,50,0.1,2,dsatur,4,0.0009829650080064312,0,True
random_er,ER_n50_p0.1_r2,50,107,50,0.1,2,tabu_search,4,0.006707876003929414,0,True
random_er,ER_n50_p0.1_r3,50,154,50,0.1,3,greedy_welsh_powell,5,6.272300379350781e-05,0,True
random_er,ER_n50_p0.1_r3,50,154,50,0.1,3,dsatur,4,0.0010212810011580586,0,True
random_er,ER_n50_p0.1_r3,50,154,50,0.1,3,tabu_search,4,0.01180690000182949,0,True
random_er,ER_n50_p0.1_r4,50,102,50,0.1,4,greedy_welsh_powell,4,5.7555007515475154e-05,0,True
random_er,ER_n50_p0.1_r4,50,102,50,0.1,4,dsatur,3,0.000930674999835901,0,True
random_er,ER_n50_p0.1_r4,50,102,50,0.1,4,tabu_search,3,0.009643047000281513,0,True
random_er,ER_n50_p0.3_r0,50,356,50,0.3,0,greedy_welsh_powell,8,9.552200208418071e-05,0,True
random_er,ER_n50_p0.3_r0,50,356,50,0.3,0,dsatur,7,0.001752272990415804,0,True
random_er,ER_n50_p0.3_r0,50,356,50,0.3,0,tabu_search,7,0.023353049997240305,0,True
random_er,ER_n50_p0.3_r1,50,369,50,0.3,1,greedy_welsh_powell,8,9.014700481202453e-05,0,True
random_er,ER_n50_p0.3_r1,50,369,50,0.3,1,dsatur,7,0.0017515679937787354,0,True
random_er,ER_n50_p0.3_r1,50,369,50,0.3,1,tabu_search,7,0.023259602996404283,0,True
random_er,ER_n50_p0.3_r2,50,342,50,0.3,2,greedy_welsh_powell,7,0.00010682700667530298,0,True
random_er,ER_n50_p0.3_r2,50,342,50,0.3,2,dsatur,7,0.001610186998732388,0,True
random_er,ER_n50_p0.3_r2,50,342,50,0.3,2,tabu_search,6,0.03708460199413821,0,True
random_er,ER_n50_p0.3_r3,50,372,50,0.3,3,greedy_welsh_powell,8,8.877700020093471e-05,0,True
random_er,ER_n50_p0.3_r3,50,372,50,0.3,3,dsatur,7,0.0016966300026979297,0,True
random_er,ER_n50_p0.3_r3,50,372,50,0.3,3,tabu_search,7,0.023910584000987,0,True
random_er,ER_n50_p0.3_r4,50,360,50,0.3,4,greedy_welsh_powell,9,9.176100138574839e-05,0,True
random_er,ER_n50_p0.3_r4,50,360,50,0.3,4,dsatur,7,0.001675161998718977,0,True
random_er,ER_n50_p0.3_r4,50,360,50,0.3,4,tabu_search,7,0.02258106200315524,0,True
random_er,ER_n50_p0.5_r0,50,601,50,0.5,0,greedy_welsh_powell,12,0.0001819740136852488,0,True
random_er,ER_n50_p0.5_r0,50,601,50,0.5,0,dsatur,12,0.002532517013605684,0,True
random_er,ER_n50_p0.5_r0,50,601,50,0.5,0,tabu_search,10,0.10014130199851934,0,True
random_er,ER_n50_p0.5_r1,50,588,50,0.5,1,greedy_welsh_powell,12,0.00012250099098309875,0,True
random_er,ER_n50_p0.5_r1,50,588,50,0.5,1,dsatur,10,0.00208020000718534,0,True
random_er,ER_n50_p0.5_r1,50,588,50,0.5,1,tabu_search,10,0.04089105599268805,0,True
random_er,ER_n50_p0.5_r2,50,593,50,0.5,2,greedy_welsh_powell,12,0.00014211000234354287,0,True
random_er,ER_n50_p0.5_r2,50,593,50,0.5,2,dsatur,10,0.0024985810014186427,0,True
random_er,ER_n50_p0.5_r2,50,593,50,0.5,2,tabu_search,10,0.03879287499876227,0,True
random_er,ER_n50_p0.5_r3,50,620,50,0.5,3,greedy_welsh_powell,12,0.0001273119996767491,0,True
random_er,ER_n50_p0.5_r3,50,620,50,0.5,3,dsatur,11,0.002541410009143874,0,True
random_er,ER_n50_p0.5_r3,50,620,50,0.5,3,tabu_search,10,0.07809486899350304,0,True
random_er,ER_n50_p0.5_r4,50,598,50,0.5,4,greedy_welsh_powell,12,0.00011688600352499634,0,True
random_er,ER_n50_p0.5_r4,50,598,50,0.5,4,dsatur,10,0.0022159710060805082,0,True
random_er,ER_n50_p0.5_r4,50,598,50,0.5,4,tabu_search,10,0.042462012002943084,0,True
random_er,ER_n50_p0.7_r0,50,837,50,0.7,0,greedy_welsh_powell,18,0.00014296500012278557,0,True
